Vko,ma,ti,ke,to,pe,la,su
22,,Linssimuhennos ja kvinoa,Linssimuhennos ja kvinoa,porkkanacouscous-fetasalaatti,porkkanacouscous-fetasalaatti,pizza,pizza
23,broileririisipannu,broileririisipannu,broileririisipannu,pasta-pestosalaatti,pasta-pestosalaatti,uunifetapasta (tomaatti/rypäle),uunifetapasta (tomaatti/rypäle)
24,kasvispyörykät + kastikse/salsa,kasvispyörykät + kastikse/salsa,kasvispyörykät + kastikse/salsa,sitruunainen broileri-kasvisriisi,sitruunainen broileri-kasvisriisi,tortillat,tortillat
25,kermainen curry-kanakastike,kermainen curry-kanakastike,riisi ja kanaa,riisi ja kanaa,JUHANNUS,JUHANNUS,JUHANNUS
26,mifukiusaus,mifukiusaus,kanakeitto,kanakeitto,kanakeitto,nachovuoka,nachovuoka
27,halloumi-parsakaalipihvit,halloumi-parsakaalipihvit,kermaperuna ja pippurikanakastike,kermaperuna ja pippurikanakastike,kermaperuna ja pippurikanakastike,sitruuna-halloumipasta,sitruuna-halloumipasta
28,kana-kvinoa salaatti,kana-kvinoa salaatti,kana-kvinoa salaatti,vegepelti,vegepelti,arkihampparit,arkihampparit
29,parmesaanikana ja risottoriisi,parmesaanikana ja risottoriisi,parmesaanikana ja risottoriisi,lohikiusaus,lohikiusaus,uunifetapasta (tomaatti/rypäle),uunifetapasta (tomaatti/rypäle)
30,härkisgratiini,härkisgratiini,itämainen nuudelisalaatti,itämainen nuudelisalaatti,itämainen nuudelisalaatti,nachovuoka,nachovuoka
31,paneer masala,paneer masala,bolognese,bolognese,bolognese,pizza,pizza
32,kasvisburritot,kasvisburritot,tofupata,tofupata,tofupata,sitruuna-halloumipasta,sitruuna-halloumipasta
33,härkislasagne,härkislasagne,härkislasagne,Texmex jauhiskastike,Texmex jauhiskastike,arkihampparit,arkihampparit
34,kukkakaali-parsakaali-halloumigratiini,kukkakaali-parsakaali-halloumigratiini,canneloni,canneloni,canneloni,tortillat,tortillat